                           TxHash                                 TxIx        Amount
--------------------------------------------------------------------------------------
001d5037ddb494c2abe3c6246fc7b6cdf3ebbe6aff01eed9d5c9d0c2a2597838     0        6279670 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0022ee9dbef4ce1e3ae0937a95521a6e55b82d33ee3dd0118be1bb997a292591     0        35191150 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0048f63c05ab7a47b54d76ecd082e212b4d31f3e4d403056a4b66df089246017     0        2400161 lovelace + TxOutDatumHash ScriptDataInBabbageEra "9e1199a988ba72ffd6e9c269cadb3b53b5f360ff99f112d9b2ee30c4d74ad88b"
004ae3f1d23482e8a002780af1e904df1f9861dfa23acca25bff5bcdbef6b3e3     0        2098970 lovelace + 1 10a306bbe43977ec3c4f385df2c4ae39496114869018ab9c1a904436.446973636f766572795374616b6556616c696461746f72 + TxOutDatumNone
005d8e4aebaeddaac0f10d3f8ec3581fdcfff028866b70d80d1b4f8afac4bffe     0        4611700 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
005f0d56f9bfdd70ba206eb47d6d095d80b2fd594390fc6782191b8b2aba063b     0        9115650 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
006d6973f1df3886d4dc6fa1cae07e49df2fe462c2b2c847efa062e297d1edee     0        32031920 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
0089f891119aa9ace1131659486f44bef0216dec021b3926a7a0f17be5ef375d     0        5240960 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
00b4b9de760e0b6ce89168aeb8b8d45f1ffeb65a171bff4bf927e0e9f9bc3c19     0        6279670 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
00d3fe2733c3025068dbf9e11b4cbc76e80311407f9a85e62b5e12ef8dd2d523     0        6279670 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
00ed0986b2db807224791ff4628f4dc29c87044a56d0e6f2e9470014094c03f0     0        34536030 lovelace + TxOutDatumHash ScriptDataInBabbageEra "923918e403bf43c34b4ef6b48eb2ee04babed17320d8d1b9ff9ad086e86f44ec"
01137f6079e97a0091de0a83afeee1c613dff88e62fa2888dd8c75206579b768     0        4611700 lovelace + TxOutDatumInline ReferenceTxInsScriptsInlineDatumsInBabbageEra (ScriptDataConstructor 0 [])
